pʕtˈeːr         ; father
meʕtˈeːr        ; mother
bʰrˈeʕteːr      ; brother
swˈesteːr       ; sister
suʔnˈus         ; son
dʰuktˈeːr       ; daughter
lˈegʰjeti       ; lay (past tense of lie)
ˈojnos          ; one, masc.
ˈojneʕ          ; one, fem.
ˈojnom          ; one, neut.
dwˈoj           ; two
trˈejes         ; three
petwˈoːr        ; four
pˈempe          ; five
sˈekʲs          ; six
sepˈmd          ; seven
okʲtˈoːw        ; eight
ʔnˈewnd         ; nine
dˈekʲmd         ; ten
kʲmtˈom         ; hundred
ʕʷdˈonts        ; tooth, nom.sg.
ʕʷdˈontes       ; tooth, nom.pl.
ʕʷdˈontm        ; tooth, acc.sg.
ʕʷdˈontms       ; tooth, acc.pl.
ʕʷdntˈes        ; tooth, gen.sg.
ʕʷdntˈoʔom      ; tooth, gen.pl.
ʕʷdntˈej        ; tooth, dat.sg.
ʕʷdntmˈos       ; tooth, dat.pl.
ʕʷdntˈeʔ        ; tooth, inst.sg.
widonom         ; know, inf.
wˈojdʕe         ; know, 1sg.
wˈojdtʕe        ; know, 2sg.
wˈojde          ; know, 3sg.
widtˈos         ; know, pp.
plʔnˈos         ; full, masc.
plʔnˈom         ; full, neut.
plʔnˈeʕ         ; full, fem.
kʷˈekʷlom       ; wheel, nom.sg.
kʷekʷlˈeʕ       ; wheel, collective
suʔrˈos         ; sour
wˈrmis          ; worm
dʰrˈogʰonom     ; drag, inf.
sprˈegonom      ; speak, inf.
lipjˈonom       ; live, inf.
ʕkʲʕowsjˈonom   ; hear, inf.
bʰˈendʰonom     ; bind, inf.
ʕpʕʷˈelʔnonom   ; fall, inf.
dngʲʰwˈeʕn      ; tongue
bʰolgʲʰis       ; belly
gʲʰˈlʕʷtom      ; gold
bʰrˈonkʲtos     ; brought
gʷʰˈiʕbʰʕ       ; wife
songʷʰos        ; song
dʰˈedʰeʔm       ; did
pˈoːds          ; foot, nom.sg.
pˈoːdes         ; foot, nom.pl
pˈekʲu          ; fee (cattle)
ʕentˈi          ; and
kʲrʕnˈom        ; horn
ʔnˈrtros        ; north
sʕˈuntros       ; south
ʕˈewsros        ; east
bʰˈergʲtos      ; bright
gʰˈostejes      ; guest
dʰewsˈom        ; deer
knˈudes         ; nuts
sˈeʕgjonom      ; seek, inf.
sˈeʕgtom        ; sought
ʕokʲjˈeʕ        ; edge
