p?\t"e:r		; father
me?\t"e:r		; mother
b_hr"e?\te:r	; brother
sw"este:r		; sister
su?n"us			; son
d_hukt"e:r		; daughter
l"eg_hjeti		; lay (past tense of lie)
"ojnos			; masc.
"ojne?\			; fem.
"ojnom			; neut.
dw"oj			; two
tr"ejes			; three
petw"o:r		; four
p"empe			; five
s"ek's			; six
sep"m=d			; seven
ok't"o:w		; eight
?n"ewn=d		; nine
d"ek'm=d		; ten
k'm=t"om		; hundred
?\_wd"onts		; tooth, nom.sg.
?\_wd"ontes		; tooth, nom.pl.
?\_wd"ontm=		; tooth, acc.sg.
?\_wd"ontm=s	; tooth, acc.pl.
?\_wdn=t"es		; tooth, gen.sg.
?\_wdn=t"o?om	; tooth, gen.pl.
?\_wdn=t"ej		; tooth, dat.sg.
?\_wdn=tm"os	; tooth, dat.pl.
?\_wdn=t"e?		; tooth, inst.sg.
widonom			; know, inf.
w"ojd?\e		; know, 1sg.
w"ojdt?\e		; know, 2sg.
w"ojde			; know, 3sg.
widt"os			; know, pp.
pl=?n"os		; full, masc.
pl=?n"om		; full, neut.
pl=?n"e?\		; full, fem.
k_w"ek_wlom		; wheel, nom.sg.
k_wek_wl"e?\	; wheel, collective
su?r"os			; sour
w"r=mis			; worm
d_hr"og_honom	; drag, inf.
spr"egonom		; speak, inf.
lipj"onom		; live, inf.
?\k'?\owsj"onom	; hear, inf.
b_h"end_honom	; bind, inf.
?\p?\_w"el?nonom ; fall, inf.
dn=g'_hw"e?\n	; tongue
b_holg'_his		; belly
g'_h"l=?\_wtom	; gold
b_hr"onk'tos	; brought
g_w_h"i?\b_h?\	; wife
song_w_hos		; song
d_h"ed_he?m		; did
p"o:ds			; foot, sg.
p"o:des			; foot, pl.
p"ek'u			; fee (cattle)
?\ent"o			; and
k'r=?\n"om		; horn
?n"r=tros		; north
s?\"untros		; south
?\"ewsros		; east
b_h"erg'tos		; bright
g_h"ostejes		; guest
d_hews"om		; deer
kn"udes			; nut
s"e?\gjonom		; seek, inf.
s"e?\gtom		; sought
?\ok'j"e?\		; edge
